ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description
1,HOME,SKU001,Camiseta Local FC BARCELONA 22/23,TRUE,FALSE,catalog,,- Tecnología Nike Dri-FIT - Tejido muy elástico de secado rápido - 100% poliéster - Color: Azul y escarlata. El plazo de entrega de los productos personalizados es de 7 a 14 días. Este producto no se puede cambiar ni devolver. Los números de jugador no se finalizarán hasta que cierre la ventana de transferencia. Barça Licensing and Merchandising (BLM) no se hace responsable de los cambios que se produzcan antes de que se hagan oficiales los dorsales de la próxima temporada 23/24.
2,HOME,SKU002,Bayern München 23-24,TRUE,FALSE,catalog,,"La camiseta de local Adidas Bayern München 2023-2024 combina los colores tradicionales del club, pero en un estilo diferente al habitual."
3,HOME,SKU003,Borussia Dortmund 2023-2024,TRUE,FALSE,catalog,,"La camiseta de fútbol local Puma BVB 2023-24 es predominantemente amarilla con un gráfico distintivo en el frente, inspirado en el estadio local del club."
4,HOME,SKU004,AC Milan 2023-2024,TRUE,FALSE,catalog,,"La camiseta de local Nike Atlético de Madrid 2023-24 hace que el club vuelva a las rayas clásicas, eliminando el diseño ondulado de la temporada pasada."
5,HOME,SKU005,Union Berlin 2023-2024,TRUE,FALSE,catalog,,"La camiseta de local Union Berlin hace que el club vuelva a las rayas clásicas, eliminando el diseño ondulado de la temporada pasada."
6,HOME,SKU006,SSC Napoli 2023-2024,TRUE,FALSE,catalog,,La camiseta de local EA7 SSC Napoli 2023-24 es azul cielo con los colores de la bandera italiana en el cuello y los puños.
7,HOME,SKU007,SL Benfica 2023-2024,TRUE,FALSE,catalog,,"La camiseta Adidas SL Benfica 2023-24 tiene un diseño elegante y con estilo. Es principalmente rojo, combinado con logos blancos y detalles dorados."
8,HOME,SKU008,Shakhtar Donetsk 2023-2024,TRUE,FALSE,catalog,,"La camiseta Shakhtar Donetsk 2023-24 tiene un diseño elegante y con estilo. Es principalmente rojo, combinado con logos blancos y detalles dorados."
9,HOME,SKU009,Sevilla FC 2023-2024,TRUE,FALSE,catalog,,La camiseta Castore Sevilla 2023-24 se inspira en la equipación de Umbro de la temporada 2000-2001.
10,HOME,SKU010,Red Star Belgrade 2023-2024,TRUE,FALSE,catalog,,La camiseta RES STAR BELGRADE 2023-24 se inspira en la equipación de Umbro de la temporada 2000-2001.
11,HOME,SKU011,Red Bull Salzburg 2022-2023,TRUE,FALSE,catalog,,"La camiseta de local Nike Red Bull Salzburg 2022-2023 se basa en la plantilla 22-23 'B team' de Nike, lo que nos da un vistazo a una opción gráfica que aún no hemos visto. Una base blanca simple se combina con un cuello y puños rojos. La parte delantera de la camiseta presenta formas de V repetidas, que consisten en líneas verticales de color gris claro, que varían en forma y tamaño. Se supone que este diseño se parece al símbolo de avance rápido, ya que el Salzburgo intenta asociar el kit con la velocidad de su estilo de juego."
